날짜,기관합계,기타법인,개인,외국인합계
2003-12-04 00:00:00,27889437175 ,0 ,6165804185 ,-34055241360 
2003-12-05 00:00:00,-158431825275 ,0 ,101257859625 ,57173965650 
2003-12-08 00:00:00,-86195478920 ,0 ,67787228890 ,18408250030 
2003-12-09 00:00:00,47423779790 ,0 ,42836753590 ,-90260533380 
2003-12-10 00:00:00,-339086584605 ,0 ,188182880690 ,150903703915 
2003-12-11 00:00:00,-217635013725 ,0 ,8063134735 ,209571878990 
2003-12-12 00:00:00,51877725510 ,0 ,-162273590020 ,110395864510 
2003-12-15 00:00:00,44946758310 ,0 ,-111237034535 ,66290276225 
2003-12-16 00:00:00,-239385437885 ,0 ,147618136535 ,91767301350 
2003-12-17 00:00:00,-85695509850 ,0 ,175979099860 ,-90283590010 
2003-12-18 00:00:00,69867084970 ,0 ,-50776472325 ,-19090612645 
2003-12-19 00:00:00,-72022835455 ,0 ,-181758726845 ,253781562300 
2003-12-22 00:00:00,-20336826590 ,0 ,-79070592780 ,99407419370 
2003-12-23 00:00:00,99923979720 ,0 ,-44933646650 ,-54990333070 
2003-12-24 00:00:00,63554280075 ,0 ,-7331965225 ,-56222314850 
2003-12-26 00:00:00,52586741490 ,0 ,-29970675635 ,-22616065855 
2003-12-29 00:00:00,65415659825 ,0 ,-512690495 ,-64902969330 
2003-12-30 00:00:00,81583559835 ,0 ,-100287439075 ,18703879240 
2004-01-02 00:00:00,66614544610 ,0 ,-110796511200 ,44181966590 
2004-01-05 00:00:00,-137132981010 ,0 ,-32596631815 ,169729612825 
2004-01-06 00:00:00,-289691954820 ,0 ,-32969995935 ,322661950755 
2004-01-07 00:00:00,-13370227170 ,0 ,-104980353310 ,118350580480 
2004-01-08 00:00:00,-386922084850 ,0 ,-91396757690 ,478318842540 
2004-01-09 00:00:00,-98057329915 ,0 ,-717274018555 ,815331348470 
2004-01-12 00:00:00,-307385695485 ,0 ,-48386275605 ,355771971090 
2004-01-13 00:00:00,-307815394185 ,0 ,14974371935 ,292841022250 
2004-01-14 00:00:00,62981850765 ,0 ,-115032531935 ,52050681170 
2004-01-15 00:00:00,-271792579645 ,0 ,49126744595 ,222665835050 
2004-01-16 00:00:00,-63466854930 ,0 ,-51077878520 ,114544733450 
2004-01-19 00:00:00,-37764732900 ,0 ,-38262989110 ,76027722010 
2004-01-20 00:00:00,-243337375360 ,0 ,-15437648190 ,258775023550 
2004-01-26 00:00:00,-617927268175 ,0 ,82128989355 ,535798278820 
2004-01-27 00:00:00,-260499675975 ,0 ,86992949515 ,173506726460 
2004-01-28 00:00:00,-220830807210 ,0 ,-3124034185 ,223954841395 
2004-01-29 00:00:00,72573140230 ,0 ,117709748220 ,-190282888450 
2004-01-30 00:00:00,41608397610 ,0 ,-21325371360 ,-20283026250 
2004-02-02 00:00:00,-68136322680 ,0 ,13260690930 ,54875631750 
2004-02-03 00:00:00,152344186350 ,0 ,-7702542500 ,-144641643850 
2004-02-04 00:00:00,67249391485 ,0 ,-16439006795 ,-50810384690 
2004-02-05 00:00:00,192927900670 ,0 ,-11783407905 ,-181144492765 
2004-02-06 00:00:00,-257784867495 ,0 ,56122661635 ,201662205860 
2004-02-09 00:00:00,-94434613695 ,0 ,-129460256955 ,223894870650 
2004-02-10 00:00:00,-109605591420 ,0 ,-199355572730 ,308961164150 
2004-02-11 00:00:00,-58633990315 ,0 ,-239694562435 ,298328552750 
2004-02-12 00:00:00,172950078720 ,0 ,-47713996530 ,-125236082190 
2004-02-13 00:00:00,-59373733260 ,0 ,-34638788130 ,94012521390 
2004-02-16 00:00:00,-255720238365 ,0 ,-6029114385 ,261749352750 
2004-02-17 00:00:00,-192425330125 ,0 ,-48016519910 ,240441850035 
2004-02-18 00:00:00,-53403832750 ,0 ,-49819313150 ,103223145900 
2004-02-19 00:00:00,-39164862965 ,0 ,-32536492115 ,71701355080 
2004-02-20 00:00:00,-151208494185 ,0 ,12053318225 ,139155175960 
2004-02-23 00:00:00,53118332485 ,0 ,42441941295 ,-95560273780 
2004-02-24 00:00:00,98180376370 ,0 ,-33273895550 ,-64906480820 
2004-02-25 00:00:00,52446301560 ,0 ,-19662663005 ,-32783638555 
2004-02-26 00:00:00,-65851478780 ,0 ,-18863688440 ,84715167220 
2004-02-27 00:00:00,197232047520 ,0 ,-178891731880 ,-18340315640 
2004-03-02 00:00:00,-173721402080 ,0 ,-405515540530 ,579236942610 
2004-03-03 00:00:00,-857447957805 ,0 ,-77309630570 ,934757588375 
2004-03-04 00:00:00,-69375189170 ,0 ,-167281432640 ,236656621810 
2004-03-05 00:00:00,-192801266850 ,0 ,-139701316200 ,332502583050 
2004-03-08 00:00:00,-68009642800 ,0 ,-45454138265 ,113463781065 
2004-03-09 00:00:00,126134836125 ,0 ,-25570713345 ,-100564122780 
2004-03-10 00:00:00,-167472429715 ,0 ,191901955075 ,-24429525360 
2004-03-11 00:00:00,-411044643835 ,0 ,428033903535 ,-16989259700 
2004-03-12 00:00:00,-113354838200 ,0 ,70342900065 ,43011938135 
2004-03-15 00:00:00,30854710140 ,0 ,15565706030 ,-46420416170 
2004-03-16 00:00:00,96584080040 ,0 ,45800831110 ,-142384911150 
2004-03-17 00:00:00,-37294130840 ,0 ,-21373239710 ,58667370550 
2004-03-18 00:00:00,-160201215750 ,0 ,18163236650 ,142037979100 
2004-03-19 00:00:00,43545761175 ,0 ,-110747919215 ,67202158040 
2004-03-22 00:00:00,-229892904840 ,0 ,187000372980 ,42892531860 
2004-03-23 00:00:00,14819683420 ,0 ,76950185400 ,-91769868820 
2004-03-24 00:00:00,-152083649710 ,0 ,90535799950 ,61547849760 
2004-03-25 00:00:00,4966706215 ,0 ,-11753667315 ,6786961100 
2004-03-26 00:00:00,129017874021 ,0 ,-226549582990 ,97531708969 
2004-03-29 00:00:00,119953951220 ,0 ,-181807495670 ,61853544450 
2004-03-30 00:00:00,-104860491420 ,0 ,-96111589080 ,200972080500 
2004-03-31 00:00:00,-189378080140 ,0 ,-143049661640 ,332427741780 
2004-04-01 00:00:00,-72792197870 ,0 ,-48343930550 ,121136128420 
2004-04-02 00:00:00,-2672288735 ,0 ,-167544062165 ,170216350900 
2004-04-06 00:00:00,-308047018310 ,0 ,-465708852980 ,773755871290 
