date,주식형ETF설정액,주식형ETF해지액,주식형ETF증감,ETF제외주식형설정,ETF제외주식형해지,ETF제외주식형증감,단기금융설정,단기금융해지,단기금융증감,파생상품설정,파생상품해지,파생상품증감
2018-06-01,598,762,-164,4344,3746,-2535,"21,976","42,662","-20,686","5,283","1,055","4,228"
2018-05-31,814,548,266,1727,913,-503,"24,416","49,017","-24,600","6,108","1,146","4,961"
2018-05-30,468,902,-435,1325,858,582,"34,434","33,324","1,110","1,289","1,171",118
2018-05-29,893,1292,-400,3715,2821,-3475,"33,464","27,979","5,485","1,010","2,476","-1,466"
2018-05-28,1093,607,486,1494,402,177,"20,487","20,677",-189,"2,260","1,459",802
2018-05-25,995,861,134,2007,1012,-345,"8,885","67,191","-58,306","1,705","1,624",81
2018-05-24,543,885,-342,924,381,-1259,"31,403","19,795","11,607",520,970,-450
2018-05-23,1741,1071,670,1994,253,600,"15,535","31,710","-16,176","1,875","2,272",-397
2018-05-21,905,591,314,1324,419,247,"10,152","18,011","-7,860","2,255","1,790",464
2018-05-18,543,459,84,2176,1633,-1237,"15,252","22,643","-7,391","2,347","1,135","1,212"
2018-05-17,1060,1234,-174,3187,2127,-3061,"9,517","11,477","-1,960","2,790",933,"1,857"
2018-05-16,563,781,-218,1950,1387,-1592,"46,195","22,539","23,656","2,025",757,"1,268"
2018-05-15,1274,1158,116,2054,779,242,"16,592","16,844",-252,770,"1,679",-909
2018-05-14,706,756,-50,2011,1304,-1545,"20,359","10,115","10,243","1,023","3,225","-2,203"
2018-05-11,930,856,75,3478,2549,-2438,"31,628","17,281","14,346","2,304","1,544",760
2018-05-10,331,1083,-752,2283,1952,-535,"12,993","34,787","-21,794","2,652","2,057",596
2018-05-09,543,544,0,2885,2342,-847,"12,732","10,187","2,546","1,052","1,977",-925
2018-05-08,377,1393,-1016,1535,1158,-2431,"31,698","15,503","16,195","2,397","5,894","-3,497"
2018-05-04,380,564,-185,949,569,-1001,"66,872","35,434","31,438",971,981,-10
2018-05-03,635,571,65,645,11,-473,"41,755","32,082","9,673","1,434","1,979",-545
2018-05-02,478,543,-66,1642,1165,879,"23,282","17,197","6,085","1,109","1,312",-203
2018-04-30,806,1332,-526,1332,526,-1927,"45,801","73,013","-27,212","2,148","4,552","-2,404"
2018-04-27,394,1186,-792,1186,792,-1978,"20,701","27,433","-6,732","1,674","2,970","-1,296"
