,기간자금설정,기간자금해지,증감
2020-01-23,"31,283","42,694","-11,411"
2020-01-22,"30,048","42,321","-12,273"
2020-01-21,"59,244","47,218","12,026"
2020-01-20,"22,838","41,442","-18,604"
2020-01-17,"32,617","35,896","-3,279"
2020-01-16,"50,684","34,265","16,419"
2020-01-15,"37,414","29,815","7,599"
2020-01-14,"37,281","34,865","2,416"
2020-01-13,"58,362","30,696","27,666"
2020-01-10,"52,325","41,033","11,292"
2020-01-09,"25,525","36,139","-10,613"
2020-01-08,"34,097","21,775","12,322"
2020-01-07,"45,135","29,783","15,352"
2020-01-06,"103,357","30,730","72,627"
2020-01-03,"114,263","46,080","68,183"
2020-01-02,"37,670","28,665","9,005"
2019-12-31,"67,392","110,538","-43,147"
2019-12-30,"54,441","71,436","-16,996"
2019-12-27,"56,192","76,814","-20,623"
2019-12-26,"38,677","60,227","-21,550"
2019-12-24,"34,984","71,015","-36,030"
2019-12-23,"34,103","57,584","-23,481"
2019-12-20,"35,110","76,927","-41,817"
2019-12-19,"31,869","37,400","-5,531"
2019-12-18,"27,060","45,265","-18,205"
2019-12-17,"26,955","48,239","-21,284"
2019-12-16,"43,110","28,389","14,721"
2019-12-13,"36,677","38,784","-2,107"
2019-12-12,"31,500","30,786",714
2019-12-11,"25,904","26,040",-137
2019-12-10,"24,701","37,329","-12,628"
2019-12-09,"45,827","65,809","-19,982"
2019-12-06,"38,967","27,945","11,022"
2019-12-05,"44,532","27,625","16,907"
2019-12-04,"28,476","22,378","6,097"
2019-12-03,"74,055","18,845","55,210"
2019-12-02,"29,125","27,194","1,931"
2019-11-29,"59,887","89,490","-29,602"
2019-11-28,"23,971","28,786","-4,815"
2019-11-27,"30,961","25,575","5,385"
2019-11-26,"34,055","30,328","3,727"
2019-11-25,"41,220","29,681","11,538"
2019-11-22,"31,069","33,914","-2,845"
2019-11-21,"21,183","37,137","-15,954"
2019-11-20,"30,879","40,267","-9,388"
2019-11-19,"24,450","21,490","2,959"
2019-11-18,"23,211","34,502","-11,290"
2019-11-15,"43,106","27,129","15,977"
2019-11-14,"27,398","18,177","9,221"
2019-11-13,"24,955","23,541","1,414"
2019-11-12,"30,677","22,901","7,776"
2019-11-11,"35,948","35,417",531
2019-11-08,"26,194","25,905",289
2019-11-07,"30,414","26,021","4,394"
2019-11-06,"22,914","19,961","2,953"
2019-11-05,"71,143","52,020","19,123"
