date,환율,거래량,기관합계,기타법인,개인,외국인합계,투자자예탁금,외국인_시가총액,외국인 비중,기간자금설정,기간자금해지,증감,유가증권신용거래융자
2010-04-08,"1,121.80","34,202",-449249600909,-4110330400,6693674145,446666257164,"13,355,169","3,054,164",32.97,"19,521","19,290",231,"3,165,086"
2010-04-09,"1,123.20","37,093",-124432211554,-859497601245,361580493680,622349319119,"13,551,862","3,039,397",32.99,"27,384","27,802",-418,"3,168,370"
2010-04-12,"1,118.80","40,732",-128124780305,-813832125,91635128640,37303483790,"13,826,339","3,006,291",32.92,"29,165","26,530","2,635","3,180,022"
2010-04-13,"1,113.00","35,986",-54556702370,-11133441170,83794554250,-18104410710,"13,550,336","3,008,874",32.94,"43,057","23,443","19,614","3,229,328"
2010-04-14,"1,120.10","42,473",26148958140,-62132946600,-172158222015,208142210475,"13,426,731","3,058,658",33.05,"26,912","33,928","-7,015","3,224,120"
2010-04-15,"1,115.70","45,668",-341676905765,1349194220,-176715617195,517043328740,"13,578,856","3,079,293",33.11,"16,615","34,206","-17,591","3,219,241"
2010-04-16,"1,108.70","37,459",-333903642310,15398732050,133970003980,184534906280,"13,542,993","3,063,319",33.11,"38,945","21,393","17,553","3,239,750"
2010-04-19,"1,113.20","36,279",-86130952805,16091309400,144141241005,-74101597600,"14,039,223","3,007,519",33.06,"15,505","22,413","-6,908","3,210,329"
2010-04-20,"1,117.00","51,514",-225589022930,12242576120,246387420570,-33040973760,"13,964,310","3,026,645",33.02,"31,634","19,913","11,721","3,220,535"
2010-04-21,"1,115.80","52,609",98608767660,15085792260,-394155344895,280460784975,"13,776,909","3,082,177",33.06,"17,682","16,353","1,329","3,217,158"
2010-04-23,"1,110.50","45,450",-128264490905,-2002129115,-29709201345,159975821365,"13,884,753","3,060,336",33.03,"33,991","29,215","4,776","3,272,429"
2010-04-26,"1,110.00","40,992",47032830285,3466375910,-258956015265,208456809070,"13,804,213","3,089,986",33.06,"18,289","23,100","-4,811","3,292,419"
2010-04-27,"1,104.00","42,415",-274125765687,-20241687400,173096478485,121270974602,"13,741,052","3,084,178",33.05,"24,054","34,992","-10,937","3,304,126"
2010-04-28,"1,106.80","38,784",-347781709520,-4709942455,395413589360,-42921937385,"14,188,696","3,054,368",33.02,"32,966","39,421","-6,455","3,313,406"
2010-04-29,"1,118.90","43,270",-99013044796,-20735609330,61051520035,58697134091,"14,362,113","3,050,420",33.01,"26,193","32,539","-6,346","3,354,039"
2010-04-30,"1,115.50","40,214",-248703271135,19475307040,-210751871720,439979835815,"14,014,129","3,079,280",33.07,"26,339","50,287","-23,948","3,388,307"
2010-05-03,"1,108.50","40,620",-80123928050,11835196920,302813273375,-234524542245,"14,507,669","3,043,406",33.06,"20,132","29,607","-9,474","3,413,875"
2010-05-04,"1,115.80","36,945",-298127710725,24273564800,281211264875,-7357118950,"13,338,728","3,039,764",33.06,"33,017","27,511","5,506","3,416,891"
2010-05-06,"1,114.60","44,217",371961523282,17057434210,354977011935,-743995969427,"14,910,703","2,971,450",32.97,"37,383","30,752","6,630","3,415,945"
2010-05-07,"1,137.10","44,595",712979111500,47716248865,484790367280,-1245485727645,"16,603,275","2,889,651",32.77,"37,060","21,839","15,221","3,435,941"
2010-05-10,"1,158.70","37,511",-90694647850,13883666500,404715440910,-327904459560,"15,134,504","2,932,024",32.67,"38,687","23,996","14,691","3,434,544"
2010-05-11,"1,133.80","44,912",-215191229260,-4442856850,203610687845,16023398265,"14,595,404","2,907,718",32.55,"28,993","20,053","8,940","3,404,578"
2010-05-12,"1,130.10","44,085",65659812930,6615027280,332693304035,-404968144245,"14,281,869","2,914,839",31.94,"33,434","25,571","7,863","3,486,644"
2010-05-13,"1,138.10","39,012",40151307390,9135166350,-117560995060,68274521320,"14,190,066","2,976,510",32.0,"21,010","18,925","2,085","3,436,131"
2010-05-14,"1,131.00","41,111",-34711530250,14945366070,226175016360,-206408852180,"14,121,620","2,975,873",31.97,"38,990","42,768","-3,778","3,453,302"
2010-05-18,"1,149.90","47,696",206704944455,-6658900750,223352585615,-423398629320,"14,606,167","2,877,838",31.89,"22,123","36,205","-14,082","3,514,197"
2010-05-19,"1,150.20","40,541",155540912720,23048879070,420361076600,-598950868390,"14,262,420","2,849,440",31.75,"37,779","20,780","16,999","3,512,425"
2010-05-20,"1,165.10","35,231",187239578714,8962896040,190859216060,-387061690814,"13,986,116","2,802,898",31.81,"17,639","28,780","-11,141","3,501,457"
2010-05-24,"1,178.60","26,624",192610729025,4458467275,-93113317650,-103955878650,"13,768,407","2,820,415",31.91,"20,058","29,908","-9,850","3,519,682"
2010-05-25,"1,212.00","46,810",583101437215,41851243890,-41997358755,-582955322350,"14,145,903","2,741,058",31.9,"39,986","19,556","20,430","3,479,243"
2010-05-26,"1,255.10","35,097",130826702815,-1238820900,99299837735,-228887719650,"14,329,946","2,759,994",31.69,"28,960","20,706","8,254","3,440,269"
2010-05-28,"1,234.20","30,897",-105040360710,-1681800960,48247091650,58475070020,"13,813,822","2,836,197",31.74,"37,668","21,945","15,724","3,333,336"
2010-05-31,"1,200.20","29,262",-104515823080,-666668585,-69227369765,174409861430,"13,646,709","2,866,940",31.73,"29,141","42,876","-13,735","3,360,943"
2010-06-01,"1,201.60","30,773",-30437216532,-19858587680,120017761595,-69721957383,"13,394,907","2,846,913",31.72,"18,781","19,627",-847,"3,314,616"
2010-06-03,"1,208.90","30,439",18312775605,-1595618930,-283515982790,266798826115,"13,426,134","2,912,942",31.84,"39,431","15,346","24,084","3,343,531"
2010-06-04,"1,204.70","27,977",52082926341,-13585373000,-136084807735,97587254394,"13,069,642","2,921,143",31.88,"24,434","21,463","2,971","3,322,569"
2010-06-07,"1,201.10","29,744",146956301500,10974940650,109971935170,-267903177320,"13,475,629","2,871,312",31.82,"20,121","23,147","-3,027","3,313,967"
2010-06-08,"1,234.80","27,378",42333531970,-16994052815,187923424530,-213262903685,"13,597,422","2,888,280",31.76,"22,725","26,221","-3,496","3,317,512"
2010-06-09,"1,233.50","30,813",-168171669390,-11108312190,213384982335,-34105000755,"13,397,501","2,876,057",31.71,"16,164","16,673",-509,"3,316,361"
2010-06-10,"1,242.20","30,158",134358551815,-3270603485,128626482350,-259714430680,"13,320,860","2,879,044",31.65,"17,139","33,294","-16,154","3,380,782"
2010-06-11,"1,261.50","36,278",48951193655,-13500482025,-345833551880,310382840250,"12,999,279","2,932,624",31.77,"25,049","21,845","3,203","3,372,975"
2010-06-14,"1,240.90","36,791",95701732470,-26073918565,-374321553785,304693739880,"13,038,348","2,965,351",31.83,"13,894","21,358","-7,464","3,409,280"
2010-06-15,"1,225.00","34,191",82455245697,-12469361950,-85351299515,15365415768,"13,167,032","2,958,450",31.77,"23,267","19,463","3,804","3,378,836"
2010-06-17,"1,211.00","36,355",-36869856027,-30044102330,-164669202325,231583160682,"13,467,636","2,990,331",31.78,"21,599","18,965","2,635","3,383,663"
2010-06-18,"1,215.90","28,283",-74836215330,-124436914920,-64368699605,263641829855,"13,455,313","2,997,686",31.79,"17,643","23,997","-6,354","3,358,789"
2010-06-21,"1,205.90","38,543",130065760750,-19166644590,-406304336660,295405220500,"13,708,888","3,048,756",31.82,"13,307","22,434","-9,127","3,360,592"
2010-06-22,"1,176.70","39,495",-157947996725,-27153644275,199448226315,-14346585315,"13,541,366","3,026,858",31.75,"24,331","25,972","-1,641","3,373,637"
2010-06-23,"1,182.60","35,666",-18252303590,-26571934240,77297483460,-32473245630,"13,691,822","3,011,652",31.7,"13,598","18,290","-4,692","3,378,974"
2010-06-24,"1,188.20","30,743",102875984550,5874831175,-135294825960,26544010235,"13,608,111","3,036,184",31.7,"15,772","35,762","-19,990","3,409,493"
2010-06-25,"1,185.20","29,706",73322567242,27606912540,51409231910,-152338711692,"13,438,105","3,011,292",31.62,"33,082","38,597","-5,516","3,434,758"
2010-06-28,"1,204.70","34,186",130807200020,-16270341740,23754465315,-138291323595,"13,457,347","3,008,402",31.55,"20,082","34,518","-14,436","3,431,304"
2010-06-29,"1,200.40","37,474",6957755058,6217333700,-68566122345,55391033587,"13,605,213","2,973,101",31.62,"28,441","39,937","-11,496","3,438,075"
2010-06-30,"1,210.30","33,613",58358737665,11354393400,261982680180,-331695811245,"13,657,176","2,943,341",31.45,"31,959","75,891","-43,932","3,466,482"
2010-07-01,"1,230.10","32,224",-143292388925,-16832827350,429524081715,-269398865440,"13,871,750","2,906,179",31.29,"24,028","20,810","3,218","3,396,827"
2010-07-02,"1,231.20","33,852",-143225428645,9315736755,365778031855,-231868339965,"13,364,120","2,889,819",31.37,"74,604","11,999","62,605","3,435,185"
2010-07-05,"1,221.20","34,900",-45566575432,5146878045,104387923490,-63968226103,"13,083,055","2,899,585",31.4,"23,687","17,530","6,157","3,456,515"
2010-07-06,"1,223.60","32,983",234711826153,12666660447,88259050320,-335637536920,"12,823,970","2,917,561",31.41,"19,794","18,718","1,076","3,513,875"
2010-07-07,"1,228.60","33,962",105456398750,11327805030,273967464000,-390751667780,"12,728,362","2,889,358",31.29,"15,082","13,796","1,286","3,542,530"
2010-07-08,"1,221.80","32,476",229419245535,4229606035,-276836499245,43187647675,"12,696,945","2,933,223",31.34,"14,593","43,134","-28,542","3,546,918"
2010-07-09,"1,211.20","46,406",161916128055,8229250000,-482102839400,311957461345,"12,419,848","2,989,050",31.48,"18,871","36,945","-18,075","3,566,739"
2010-07-12,"1,198.80","34,003",1554156165,-4152547380,-335366248845,337964640060,"12,588,368","3,009,761",31.48,"17,565","23,548","-5,984","3,562,978"
2010-07-13,"1,197.50","40,656",92867979525,-69025869650,-316196471350,292354361475,"12,755,884","3,012,618",31.49,"15,667","24,604","-8,938","3,526,999"
2010-07-14,"1,204.60","52,692",-29332766895,-59351396300,-814737032845,903421196040,"13,207,617","3,058,878",31.55,"13,925","23,994","-10,069","3,503,602"
2010-07-15,"1,199.20","38,418",-510020613935,-30017111390,56161737515,483875987810,"13,746,294","3,051,724",31.6,"20,442","28,095","-7,654","3,490,958"
2010-07-16,"1,204.70","37,044",-345906149101,-18140890460,62810750125,301236289436,"14,064,727","3,025,502",31.56,"30,396","26,411","3,985","3,482,808"
2010-07-19,"1,201.10","27,768",-59483296870,-18026465840,134139163740,-56629401030,"13,980,922","3,007,005",31.48,"14,740","21,282","-6,543","3,509,790"
2010-07-20,"1,215.90","30,197",-160517919135,-9049536030,188459018115,-18891562950,"14,015,735","3,017,576",31.5,"30,641","26,925","3,716","3,515,152"
2010-07-21,"1,211.80","36,424",-116958976045,-8351541830,-122034527605,247345045480,"13,783,418","3,046,106",31.57,"13,429","13,804",-374,"3,542,296"
2010-07-22,"1,203.60","39,299",-7761172215,-14160839230,18797113350,3124898095,"13,860,501","3,021,367",31.56,"18,321","23,670","-5,349","3,582,555"
2010-07-23,"1,206.90","36,373",77705343675,-18892337480,-283334090465,224521084270,"13,755,064","3,071,342",31.67,"34,173","33,929",244,"3,600,284"
2010-07-26,"1,197.20","31,406",63651315862,-13837880315,-203960898530,154147462983,"13,739,193","3,092,105",31.68,"26,845","41,838","-14,993","3,595,103"
2010-07-27,"1,194.40","33,179",-522080889430,-85465699750,23095019695,584451569485,"13,673,217","3,102,611",31.79,"35,349","38,827","-3,478","3,572,842"
2010-07-28,"1,183.60","31,834",97604678810,-1428650025,-229489787035,133313758250,"13,554,963","3,117,183",31.84,"29,431","36,081","-6,650","3,577,338"
2010-07-29,"1,186.50","33,851",-53668663220,-28657363800,-77189177760,159515204780,"13,562,097","3,116,738",31.89,"18,963","24,159","-5,196","3,568,310"
2010-07-30,"1,187.20","36,634",-19557062430,12754367750,-82677910555,89480605235,"13,644,024","3,089,963",31.78,"30,231","49,431","-19,201","3,580,383"
2010-08-02,"1,185.00","32,832",106305140308,23909953330,-196569449720,66354356082,"13,673,072","3,126,736",31.75,"28,446","29,755","-1,308","3,569,551"
2010-08-03,"1,173.40","34,308",-69660031889,31231894964,-265990536375,304418673300,"13,424,971","3,144,753",31.78,"41,530","19,121","22,409","3,559,412"
2010-08-04,"1,168.70","32,981",-315416107160,12356150725,99235163365,203824793070,"13,589,438","3,140,506",31.75,"20,452","13,995","6,457","3,597,244"
2010-08-05,"1,169.50","33,344",111323777015,11246098840,42395805145,-164965681000,"13,922,699","3,129,051",31.74,"20,192","15,683","4,509","3,576,529"
2010-08-06,"1,168.20","32,840",158703705640,7992787450,-121703170150,-44993322940,"13,633,510","3,124,167",31.7,"16,726","12,419","4,307","3,621,386"
2010-08-09,"1,165.70","28,556",-3274491465,23402649180,-82700522020,62572364305,"13,475,454","3,133,980",31.7,"10,536","15,311","-4,775","3,617,568"
2010-08-10,"1,159.10","29,595",-154820955635,22640724530,79081475510,53098755595,"13,747,312","3,114,438",31.65,"15,640","22,468","-6,828","3,632,497"
2010-08-11,"1,167.20","37,361",-265658646290,-9923440580,284536334380,-8954247510,"13,916,209","3,079,374",31.7,"15,977","14,565","1,412","3,623,257"
